anime_id,title,type,source,episodes,aired,duration,rating,score,scored_by,rank,popularity,members,producer,licensor,studio,genre,opening_theme,ending_theme
11013,Inu x Boku SS,TV,Manga,12,"{'from': '2012-01-13', 'to': '2012-03-30'}",24 min. per ep.,PG-13 - Teens 13 or older,7.63,139250,1274.0,231,283882,"Aniplex, Square Enix, Mainichi Broadcasting System, Movic, Inu x Boku SS Production Partners",Sentai Filmworks,David Production,"Comedy, Supernatural, Romance, Shounen","['""Nirvana"" by MUCC']","['#1: ""Nirvana"" by MUCC (eps 1, 11-12)', '#2: ""Rakuen no Photograph (楽園のPhotograph)"" by Soushi Miketsukami (Yuichi Nakamura) (eps 2, 9)', '#3: ""Kimi wa (君は)"" by Ririchiyo Shirakiin (Rina Hidaka) (eps 3, 8)', '#4: ""one way"" by Banri Watanuki (Takuya Eguchi) & Zange Natsume (Mamoru Miyano) (ep 4)', '#5: ""SM Hantei Forum (SM判定フォーラム)"" by Kagerou Shoukiin (Tomokazu Sugita) (ep 5, 10)', '#6: ""sweets parade"" by Karuta Roromiya (Kana Hanazawa) (ep 6)', '#7: ""Taiyou to Tsuki (太陽と月)"" by Renshou Sorinozuka (Yoshimasa Hosoya) & Nobara Yukinokouji (Youko Hikasa) (ep 7)']"
2104,Seto no Hanayome,TV,Manga,26,"{'from': '2007-04-02', 'to': '2007-10-01'}",24 min. per ep.,PG-13 - Teens 13 or older,7.89,91206,727.0,366,204003,"TV Tokyo, AIC, Square Enix, Sotsu",Funimation,Gonzo,"Comedy, Parody, Romance, School, Shounen","['""Romantic summer"" by SUN&LUNAR']","['#1: ""Ashita e no Hikari (明日への光)"" by Asuka Hinoi (1-13, 26)', '#2: ""Dan Dan Dan"" by SUN&LUNAR (eps 14-25)']"
5262,Shugo Chara!! Doki,TV,Manga,51,"{'from': '2008-10-04', 'to': '2009-09-25'}",24 min. per ep.,PG - Children,7.55,37129,1508.0,1173,70127,"TV Tokyo, Sotsu",,Satelight,"Comedy, Magic, School, Shoujo","['#1: ""Minna no Tamago (みんなのたまご)"" by Shugo Chara Egg (eps 1-13)', '#2: ""Shugo Shugo! (しゅごしゅご!)"" by Shugo Chara Egg (eps 14-25)', '#3: ""Omakase♪Guardian (おまかせ♪ガーディアン)"" by Guardians 4 (eps 26-38)', '#4: ""School Days"" by Guardians 4 (eps 39-51)']","['#1: ""Rottara Rottara (ロッタラ ロッタラ)"" by Buono! (eps 1-17)', '#2: ""co.no.mi.chi"" Buono! (eps 18-25)', '#3: ""MY BOY"" by Buono! (eps 26-38)', '#4: ""Take it Easy!"" by Buono! (eps. 39-50)', '#5: ""Honto no Jibun (ホントのじぶん)"" by Buono! (ep 51)']"
721,Princess Tutu,TV,Original,38,"{'from': '2002-08-16', 'to': '2003-05-23'}",16 min. per ep.,PG-13 - Teens 13 or older,8.21,36501,307.0,916,93312,"Memory-Tech, GANSIS, Marvelous AQL",ADV Films,Hal Film Maker,"Comedy, Drama, Magic, Romance, Fantasy","['""Morning Grace"" by Ritsuko Okazaki']","['""Watashi No Ai Wa Chiisaikeredo"" by Ritsuko Okazaki']"
12365,Bakuman. 3rd Season,TV,Manga,25,"{'from': '2012-10-06', 'to': '2013-03-30'}",24 min. per ep.,PG-13 - Teens 13 or older,8.67,107767,50.0,426,182765,"NHK, Shueisha",,J.C.Staff,"Comedy, Drama, Romance, Shounen","['#1: ""Moshimo no Hanashi (もしもの話)"" by nano.RIPE (eps 1-13)', '#2: ""23:40 (23時40分) feat. Base Ball Bear"" by Hyadain (eps 14-25)']","['#1: ""Pride on Everyday"" by Sphere (eps 1-13)', '#2: ""Yume Sketch (夢スケッチ)"" by JAM Project (eps 14-24)', '#3: ""Moshimo no Hanashi (もしもの話)"" by nano.RIPE (ep 25)']"
6586,Yume-iro Pâtissière,TV,Manga,50,"{'from': '2009-10-04', 'to': '2010-09-26'}",24 min. per ep.,G - All Ages,8.03,21618,526.0,1630,45625,"Yomiuri Telecasting, DAX Production, Shueisha",,"Studio Pierrot, Studio Hibari","Kids, School, Shoujo","['""Yume ni Yell! Patissiere♪ (夢にエール！パティシエール♪)"" by Mayumi Gojou']","['""Ichigo no Miracle (いちごのミラクルール)"" by Yukina Sugihara']"
178,Ultra Maniac,TV,Manga,26,"{'from': '2003-05-20', 'to': '2003-11-11'}",24 min. per ep.,G - All Ages,7.26,9663,2594.0,2490,22778,"WAO World, Studio Jack","Discotek Media, Geneon Entertainment USA",Production Reed,"Magic, Comedy, Romance, School, Shoujo","['""Kagami no Naka"" by can/goo']","['""Hitotsu=Unmei Kyoudoutai"" by can/goo']"
2787,Shakugan no Shana II (Second),TV,Light novel,24,"{'from': '2007-10-05', 'to': '2008-03-28'}",24 min. per ep.,PG-13 - Teens 13 or older,7.72,126085,1066.0,332,220591,"Geneon Universal Entertainment, ASCII Media Works",Funimation,J.C.Staff,"Action, Drama, Fantasy, Romance, School, Supernatural","['#1: ""JOINT"" by Mami Kawada (eps 1-15)', '#2: ""BLAZE"" by KOTOKO (16-24)']","['#1: ""Triangle"" by Kawada Mami (eps 1-15)', '#2: ""Sociometry"" by KOTOKO (eps 16-23)', '#3: ""Sense"" by Kawada Mami (ep 24)']"
4477,Nodame Cantabile: Paris-hen,TV,Manga,11,"{'from': '2008-10-10', 'to': '2008-12-19'}",23 min. per ep.,PG-13 - Teens 13 or older,8.24,53908,281.0,988,85660,"Fuji TV, Asmik Ace Entertainment, Sony Music Entertainment",,J.C.Staff,"Music, Slice of Life, Comedy, Romance, Josei","['""Sky High!"" by The Gospellers']","['""東京 et 巴里 (Tokyo and Paris)"" by Emiri Miyamoto x Solita']"
853,Ouran Koukou Host Club,TV,Manga,26,"{'from': '2006-04-05', 'to': '2006-09-27'}",23 min. per ep.,PG-13 - Teens 13 or older,8.34,335137,205.0,69,538843,"VAP, Hakusensha, Nippon Television Network",Funimation,Bones,"Comedy, Harem, Romance, School, Shoujo","['""Sakura Kiss"" by Chieko Kawabe']","['""Shissou"" by Last Alliance']"
